Unnamed: 0,Bad,Formulas,Name_source,DOI
161959,1,"['Ac', 'Na']",GlyAc / NaGly,10.1016/j.jpowsour.2019.05.036
153105,1,['AcNH'],AcNH-TEMPO,10.1016/j.jpowsour.2016.06.125
2485,1,['AcOH'],AcOH,10.1016/0379-6779(94)90155-4
190571,1,['AcOH'],AcOH,10.1016/j.ssi.2003.08.038
199087,1,['AcOH'],AcOH,10.1039/C0DT00450B
561,,"['Ag', 'Ag']",Ag / Ag,10.1016/0022-0728(90)85027-3
585,,"['Ag', 'Ag']",Ag / Ag,10.1016/0022-0728(90)87135-7
2238,,"['Ag', 'Ag']",Ag / Ag,10.1016/0378-7753(94)02129-Q
2407,,"['Ag', 'Ag']",Ag / Ag,10.1016/0379-6779(91)91885-E
2451,,"['Ag', 'Ag']",Ag / Ag,10.1016/0379-6779(94)02590-U
2565,,"['Ag', 'Ag']",Ag / Ag,10.1016/0379-6779(96)03661-2
5076,,"['Ag', 'Ag']",Ag / Ag,10.1016/S0025-5408(97)00124-4
11411,,"['Ag', 'Ag']",Ag / Ag,10.1016/S0379-6779(98)80111-2
12817,,"['Ag', 'Ag']",Ag / Ag,10.1016/S1003-6326(11)61235-1
3412,,"['Ag', 'Ag']",Ag / Ag+ ,10.1016/S0013-4686(01)00853-2
3788,,"['Ag', 'Ag']",Ag / Ag+ ,10.1016/S0013-4686(03)00173-7
3821,,"['Ag', 'Ag']",Ag / Ag+ ,10.1016/S0013-4686(03)00267-6
162151,,"['Ag', 'Ag']",Ag / Ag+ ,10.1016/j.jpowsour.2019.226745
192552,,"['Ag', 'Ag']",Ag / Ag+ ,10.1016/j.ssi.2013.11.048
272594,,"['Ag', 'Ag']",Ag / Ag+ ,10.1039/C8QO00256H
233842,,"['Ag', 'Ag0.33V2O5']",Ag / Ag0.33V2O5,10.1039/C5RA18074K
222352,,"['Ag', 'Ag0.33V2O5']",Ag / Ag0.33V2O5 ,10.1039/C4TA00437J
105627,,"['Ag', 'Ag0.68V2O5']",Ag / Ag0.68V2O5,10.1016/j.jallcom.2017.06.234
217958,,"['Ag', 'Ag0.68V2O5']",Ag / Ag0.68V2O5,10.1039/C4NR00250D
11617,,"['Ag', 'Ag2CO3']",Ag / Ag2CO3,10.1016/S0925-4005(98)00043-4
59855,,"['Ag', 'Ag2O']",Ag / Ag-oxides,10.1016/j.electacta.2014.11.017
7591,,"['Ag', 'Ag2O']",Ag / Ag2O,10.1016/S0378-7753(00)00511-5
58110,,"['Ag', 'Ag2O']",Ag / Ag2O,10.1016/j.electacta.2014.06.008
285564,,"['Ag', 'Ag2O']",Ag / Ag2O ,10.1039/TF9686403137
1153,,"['Ag', 'Ag2O']",Silver / silver oxide,10.1016/0039-6028(93)90025-F
122666,,"['Ag', 'Ag2O']",Silver / silver oxide,10.1016/j.jneumeth.2007.08.019
206118,,"['Ag', 'Ag2S', 'Pt']",Ag / Ag2S / Pt,10.1039/C2RA22507G
11618,,"['Ag', 'Ag2S']",Ag / Ag2S,10.1016/S0925-4005(98)00043-4
42742,,"['Ag', 'Ag2SO4']",Silver / silver sulfate,10.1016/j.elecom.2019.05.019
189378,,"['Ag', 'Ag2V4O11']",Ag / Ag2V4O11,10.1016/j.snb.2010.07.016
222354,,"['Ag', 'Ag2V4O11']",Ag / Ag2V4O11,10.1039/C4TA00437J
253591,,"['Ag', 'Ag3Cu']",Ag / Ag3Cu,10.1039/C6TA10948A
197511,,"['Ag', 'AgBr']",Ag / AgBr,10.1039/B504839G
148,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/0010-938X(94)90049-3
753,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/0022-0728(93)03257-P
1117,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/0032-3861(94)90332-8
1575,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/0375-6742(92)90025-4
1589,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/0378-4347(95)00465-3
2430,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/0379-6779(93)90965-Y
2436,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/0379-6779(93)91138-R
2510,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/0379-6779(94)90266-6
2515,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/0379-6779(94)90267-4
2534,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/0379-6779(94)90309-3
2681,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/0927-0248(92)90078-4
4453,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/S0021-9673(01)81528-4
4456,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/S0021-9673(96)00599-7
5220,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/S0040-4039(98)01793-6
11358,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/S0379-6779(97)81212-X
11377,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/S0379-6779(98)00052-6
11382,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/S0379-6779(98)00090-3
11405,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/S0379-6779(98)80087-8
11408,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/S0379-6779(98)80106-9
62044,2,"['Ag', 'AgC']",Ag / AgC1,10.1016/j.electacta.2015.04.096
2274,2,"['Ag', 'AgC']",Ag / AgC1 ,10.1016/0378-7753(94)02166-Z
7255,2,"['Ag', 'AgC']",Ag / AgC1 ,10.1016/S0254-0584(97)80052-1
4065,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl,10.1016/S0013-4686(98)00072-3
39533,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl,10.1016/j.egypro.2014.12.207
43841,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl,10.1016/j.electacta.2005.12.057
45355,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl,10.1016/j.electacta.2008.02.022
54654,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl,10.1016/j.electacta.2013.07.091
167124,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl,10.1016/j.matchemphys.2018.05.009
169743,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl,10.1016/j.materresbull.2016.08.019
190284,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl,10.1016/j.solmat.2007.04.028
197210,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl,10.1039/B300566F
208474,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl,10.1039/C3DT52608A
234226,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl,10.1039/C5RA20301E
242339,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl,10.1039/C6CY00796A
249721,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl,10.1039/C6TA02563C
280497,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl,10.1039/C9CP02536G
282830,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl,10.1039/C9TA00404A
135674,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl ,10.1016/j.jpowsour.2011.12.042
240597,,"['Ag', 'AgCl', 'KCl']",Ag / AgCl / KCl ,10.1039/C5TA10579J
40287,,"['Ag', 'AgCl', 'KCl']",Silver / silver chloride / saturated KCl,10.1016/j.elecom.2006.09.032
