num,symbol,number,row,group,atomic_mass,molar_volume,atomic_radius,ionic_radius,covalent_radius,van_der_waals_radius,electron_negativity,electron_affinity,electrical_resistivity,thermal_cond,boiling_point,melting_point,Tc,enthalpy_of_fusion,first_ionization_energy,second_ionization_energy,s,p,d,f,Omax,Omin,valance,block,electron_shell,metal,noble_gas,alkali_metal,rare_earth_metal,Over_metal,Lanthanide_metals,actinoid,Halogen,alkaline,poissons_ratio,bulk_modulus,youngs_modul,rigidity_modul,thermal_expansion
0,H,1,1,1,1.00794,11.42,1.008,0,0.32,120,2.2,72.769,0,0.1805,20.28,14.01,33,0.558,1312,1312,1,0,0,0,1,-1,1,s,1,0,0,0,0,0,0,0,0,0,,,,,
1,He,2,1,18,4.002602,21,1.4,0,0.37,140,4.16,0,0,0.1513,4.22,0.95,5.19,0.02,2372,5250,2,0,0,0,0,0,0,s,2,0,1,0,0,0,0,0,0,0,,,,,
2,Li,3,2,1,6.941,13.02,1.82,0.9,1.3,212,0.98,59.633,9.50E-08,85,1615,453.69,3223,3,520,7298,1,0,0,0,1,1,1,s,2.1,1,0,1,0,0,0,0,0,0,,11,4.9,4.2,4.60E-05
3,Be,4,2,2,9.012182,4.85,1.53,0.59,0.99,198,1.57,0,3.80E-08,190,2742,1560,0,7.95,899.5,1757.1,2,0,0,0,2,2,2,s,2.2,1,0,0,0,0,0,0,0,1,0.032,130,287,132,1.13E-05
4,B,5,2,13,10.811,4.39,1.92,0.41,0.84,192,2.04,26.989,1.00E+12,27,4200,2349,0,50,800.6,2427.1,2,1,0,0,3,1,3,p,2.3,0,0,0,0,0,0,0,0,0,,320,,,6.00E-06
5,C,6,2,14,12.0107,5.29,1.7,0.3,0.75,177,2.55,121.776,1.00E-05,140,4300,3800,0,117,1086,2352,2,2,0,0,4,-4,4,p,2.4,0,0,0,0,0,0,0,0,0,,33,,,7.10E-06
6,N,7,2,15,14.0067,13.54,1.55,0.63,0.71,166,3.04,0,0,0.02583,77.36,63.05,126.2,0.36,1402,2856,2,3,0,0,5,-3,3,p,2.5,0,0,0,0,0,0,0,0,0,,,,,
7,O,8,2,16,15.9994,17.36,1.52,1.26,0.64,150,3.44,140.976,0,0.02658,90.2,54.8,154.6,0.222,1313,3388,2,4,0,0,2,-2,2,p,2.6,0,0,0,0,0,0,0,0,0,,,,,
8,F,9,2,17,18.9984032,11.2,1.47,0.705,0.6,146,3.98,328.165,0,0.0277,85.03,53.53,144,0.26,1681,3374,2,5,0,0,-1,-1,1,p,2.7,0,0,0,0,0,0,0,1,0,,,,,
9,Ne,10,2,18,20.1797,13.23,1.54,0,0.62,158,4.79,0,0,0.0491,27.07,24.56,44.4,0.34,2080,3952,2,6,0,0,0,0,0,p,2.8,0,1,0,0,0,0,0,0,0,,,,,
